Fecha,cetes 28,cetes 91,cetes 182,cetes 364,TIIE 28,TIIE 91,IPC,Consumo,Imp
ene-90,41.29,40.25,0,0,0,0,210.21,6094267.64,22.82
feb-90,45.2,43.03,0,0,0,0,208.31,6304694.26,23.54
mar-90,46.65,45.16,0,0,0,0,232.02,6243678.75,25.72
abr-90,44.64,44.32,0,0,0,0,261.73,6598254.76,26.56
may-90,36.92,38,0,0,0,0,302.94,6258158.56,25.27
jun-90,32.38,33.27,0,0,0,0,348.49,6643072.1,28.01
jul-90,30.66,31.76,32.34,0,0,0,354.25,6683957.1,29.72
ago-90,29.72,30.54,31.42,0,0,0,399.66,6993988.02,27.14
sep-90,30.14,31.54,31.85,0,0,0,427.67,6175113.21,26.37
oct-90,28.7,30.34,30.9,0,0,0,400.36,6181258.05,26.17
nov-90,24.82,26.29,25.32,25.57,0,0,384.75,6211963.66,26.7
dic-90,25.99,25.84,25.12,25.13,0,0,418.93,6448570.31,26.53
ene-91,23.64,23.93,23.93,24.61,0,0,444.75,6291059.46,26.93
feb-91,23.15,23.33,23.54,24.4,0,0,473.02,6402540.86,29.07
mar-91,22.04,22.51,22.5,23,0,0,489.62,6521077.49,28.48
abr-91,21.12,21.43,21.3,21.93,0,0,525.61,6936205.11,31.02
may-91,19.77,20.15,20.16,20.06,0,0,650.29,6569605.23,33.18
jun-91,17.74,18.53,18.34,18.52,0,0,615.33,7017808.85,33.41
jul-91,18.47,18.64,18.74,18.38,0,0,673.14,7048659.14,33.46
ago-91,16.71,17.68,18.11,17.55,0,0,580.98,7471270.6,34.28
sep-91,17.55,18.72,19.01,17.95,0,0,522.08,7184233.24,34.03
oct-91,17.87,18.38,18.11,17.25,0,0,611.38,7465642.98,35.34
nov-91,16.62,17.24,16.91,16.62,0,0,626.71,7504539.22,36.5
dic-91,16.65,17.33,16.66,16.36,0,0,628.79,7755478.19,33.09
ene-92,15.31,15.84,15.6,15.71,0,0,622.99,7494212.28,18.35
feb-92,14.56,15.13,14.95,15.27,0,0,659.17,7778286.26,17.15
mar-92,11.84,11.73,11.72,12.36,0,0,803.35,7891797.99,15.88
abr-92,12.44,11.86,11.61,11.82,0,0,901.14,8191297.7,17.18
may-92,13.6,13.1,12.78,12.99,0,0,1096.17,7995279.26,16.54
jun-92,15.03,14.84,14.81,14.42,0,0,1058.02,8327866.33,16.9
jul-92,16.23,16.99,16.94,16.5,0,0,1193.65,8464173.6,16.99
ago-92,16.49,17.29,18.12,17.95,0,0,1254.6,8803107.74,19.72
sep-92,17.54,18.63,18.94,19.26,0,0,1257.27,8333674.29,16.2
oct-92,19.39,19.49,19.33,19.34,0,0,1371.01,8589457.25,15.86
nov-92,18.15,18.23,18.35,18.7,0,0,1384.18,8598755.75,15.67
dic-92,16.88,17.53,17.95,18.96,0,0,1431.46,8910441.45,16.33
ene-93,16.72,18.3,18.21,18.99,0,0,1623.47,8368226.86,17.3
feb-93,17.74,18.75,18.84,19.72,0,0,1860.63,8872557.14,17.26
mar-93,17.47,17.98,18.14,18.84,0,0,1875.73,8780947.98,17.44
abr-93,16.17,16.74,17.06,17.16,0,0,1838.3,8993782.38,16.5
may-93,15.04,16.34,16.96,16.74,0,0,1892.33,8634773.62,17.33
jun-93,15.5,15.95,16.63,16.45,0,0,1599.26,8902167.52,17.32
jul-93,13.85,14.73,14.89,14.74,0,0,1569.73,8938979.92,18.51
ago-93,13.68,14.1,14.29,13.99,0,0,1400.37,9320337.25,20.46
sep-93,13.71,14.12,13.88,13.41,0,0,1327.07,8948120.08,21.71
oct-93,13.13,13.55,13.49,13.2,0,0,1597.33,9320109.14,23.78
nov-93,14.38,13.72,12.91,12.37,0,0,1715.69,9436175.41,24.38
dic-93,11.78,11.71,11.38,11.03,0,0,1759.44,9799811.74,26.8
ene-94,10.52,10.75,10.77,10.72,0,0,1653.22,9203649.94,19.31
feb-94,9.45,9.8,10.29,10.53,0,0,1546.68,9681219.06,21.52
mar-94,9.73,10.31,11.29,11.37,0,0,1771.71,9698127.03,21.7
abr-94,15.79,15.92,15.62,15.16,0,0,1665.41,9955980.41,24.12
may-94,16.36,17.44,16.4,16.41,0,0,1612.99,9642857.4,23.97
jun-94,16.18,16.74,15.82,15.57,0,0,1670.29,10056964.08,30.49
jul-94,17.07,17.38,17.01,16.33,0,0,1769.71,10058451.54,28.87
ago-94,14.46,14.76,14.06,13.41,0,0,1905.59,10345043.35,29.82
sep-94,13.76,14.15,13.81,13.39,0,0,1840.72,9931873.68,27.08
oct-94,13.6,13.98,14.03,13.63,0,0,2020.26,10334914.89,29.63
nov-94,13.74,14.54,14.5,14.28,0,0,2215.69,10303254.97,31.53
dic-94,18.51,19.62,15.24,15.12,0,0,2602.63,10539633.27,34.47
ene-95,37.25,39.23,34.34,35.48,0,0,2781.37,10095453.73,30.89
feb-95,41.69,41.65,37.72,36.19,0,0,2585.44,10579401.83,29.73
mar-95,69.54,71.2,54.5,48.02,89.48,0,2410.4,10433579.99,33.77
abr-95,74.75,71.5,0,0,85.22,0,2294.1,10292371.19,32.42
may-95,59.17,54.71,48.96,0,60.45,0,2483.7,9316384.33,35.23
jun-95,47.25,47.31,46.7,0,49.5,0,2262.6,9468402.93,32.58
jul-95,40.94,39.72,40.01,37.11,43,0,2462.3,9777916.6,34.17
ago-95,35.14,35.88,36.62,36.6,37.6,0,2702.7,10250088.74,31.76
sep-95,33.46,34.33,35.44,36.11,35.48,0,2746.1,9622141.03,32.93
oct-95,40.29,41.2,40.1,40.43,42.61,0,2552.1,9983655.65,31.88
nov-95,53.16,54.19,53.05,0,57.43,0,2591.3,10086402.47,29.8
dic-95,48.62,48.01,46.36,0,51.36,0,2375.7,10514584.79,29.58
ene-96,40.99,41.57,41.37,40.91,42.66,0,2094,9928764.63,35.46
feb-96,38.58,40.66,41.65,43.11,40.11,0,1549.8,10281403.99,35.7
mar-96,41.45,43.05,42.9,43.77,42.93,0,1832.8,10524305.79,37.87
abr-96,35.21,37.15,37.42,38.09,36.61,0,1960.5,10823394.67,37.34
may-96,28.45,31.07,32.67,34.5,30.31,0,1945.1,10406187.96,36.53
jun-96,27.81,29.64,31.93,33.56,30.11,0,2196.1,10473987.35,35.81
jul-96,31.25,31.66,33.45,34.84,33.49,0,2375.2,10644916.97,35.14
ago-96,26.51,29.16,31.45,32.74,29.36,0,2517,11004923.39,33.9
sep-96,23.9,27.79,29.62,30.25,26.82,0,2392.3,10466308.9,34.65
oct-96,25.75,27.68,28.27,28.13,28.68,0,2302,10748060.61,33.98
nov-96,29.57,28.94,27.66,26.97,32.28,0,2689,10842282.59,33.73
dic-96,27.23,26.51,25.7,25.71,29.92,0,2778.5,11220351.65,35.5
