"ticker","fecha2","mind2mexico_1","mind2mexico_30","mind2mexico_32","econ_capitalizbursat","mind2mexico_54","deuda_cp","mind2mexico_199","Year","Mes"
"BIMBO",199203,3080981.5,2165089.25,1197736.625,4302.73987750244,762744.6875,281064.40625,66227.1015625,"1992","03"
"BIMBO",199206,3265522.25,2255540,1463595.5,3756.86993880081,1090442.875,268252.6875,158461.625,"1992","06"
"BIMBO",199209,3813124,2627624,1459543,2889.9,1123778,143549,345223.40625,"1992","09"
"BIMBO",199212,3657688,2561060,1429840,4431.180061203,1013169,91125,392499.28125,"1992","12"
"BIMBO",199303,3700669,2622278,1491515,4527.51,976336,136938,116425.6,"1993","03"
"BIMBO",199306,3670033,2687469,1586583,NA,905865,62090,122245,"1993","06"
"BIMBO",199309,3887059,2742114,837041,6550.44,1007730,100034,459287.9,"1993","09"
"BIMBO",199312,4147785,2893102,1700499,9424.285,1059222,112169,464378.4,"1993","12"
"BIMBO",199403,5330806,3585447,2126058,9715,1109592,90628,-109725,"1994","03"
"BIMBO",199406,6343842,4272344,2716589,8525.75,1441352,199989,23037.64,"1994","06"
"BIMBO",199409,6987510,4622301,2762096,9447,1687785,169876,6407.905,"1994","09"
"BIMBO",199412,8691823,6051038,4299856,8961.25,2322528,565852,441787,"1994","12"
"BIMBO",199503,8049760,4697604,3369102,7705,2285041,983058,550548,"1995","03"
"BIMBO",199506,7611690,5421026,3923611,9380,2415134,1049694,-122703.5,"1995","06"
"BIMBO",199509,7705682,5555280,3806742,9530.75,2448889,1043077,323894.1,"1995","09"
"BIMBO",199512,9346693,6621435,5147478,10686.5,2719087,1344676,1376447,"1995","12"
"BIMBO",199603,9608705,6709550,5081616,11557.5,2989297,413824,441621.8,"1996","03"
"BIMBO",199606,10201329,7035950,5759641,11758.5,3374955,551301.1,593469.6,"1996","06"
"BIMBO",199609,10405201,7372366,5777621,13567.5,3506180,555065.6,1037050,"1996","09"
"BIMBO",199612,12011555,8352557,5997324,15745,4002195,911512.3,1696156,"1996","12"
"BIMBO",199703,12158045,8504620,5975269,16415,3868852,865806,373610,"1997","03"
"BIMBO",199706,12464041,8705226,6207297,19061.5,4039866,876914.7,509233.1,"1997","06"
"BIMBO",199709,12893240,9020773,6599869,23785,4013574,299151.7,986476.6,"1997","09"
"BIMBO",199712,13864935,9596483,7180985,26130,4047610,387482.8,2198683,"1997","12"
"BIMBO",199803,14663909,10076577,7573360,30284,4341973,363387.5,637312.9,"1998","03"
"BIMBO",199806,17697288,11405737,9811338,24886.68,7183205,2327896,1260157,"1998","06"
"BIMBO",199809,18642588,12026303,11199697,27074.52,7515944,428666.8,1415542,"1998","09"
"BIMBO",199812,18955584,12040673,10502217,25980.6,7443777,546250.3,2305126,"1998","12"
"BIMBO",199903,19170792,12480984,14003542,28988.88,7496389,456985.8,489801.3,"1999","03"
"BIMBO",199906,21410364,13191928,14474077,29853.6,7704376,486999.4,1069543,"1999","06"
"BIMBO",199909,22225580,13524851,14423630,27834.93,8029386,405459.2,2076397,"1999","09"
"BIMBO",199912,22332546,12417377,14005180,29999.31,7436170,657384.9,2358400,"1999","12"
"BIMBO",200003,22728744,12757110,14886203,21389.58,8817016,761063.2,544502.4,"2000","03"
"BIMBO",200006,22807272,12640944,14138051,22042.04,9037047,920130.8,1500682,"2000","06"
"BIMBO",200009,23538304,12981942,14999305,22289.94,9316620,1262801,2210348,"2000","09"
"BIMBO",200012,23979184,13071737,15199172,19185.32,8696185,1385063,3596383,"2000","12"
"BIMBO",200103,24578026,13217532,15091221,19253.96,8712320,1553389,264192.3,"2001","03"
"BIMBO",200106,23368436,13217731,14888691,22649.22,7838021,1425613,573073.3,"2001","06"
"BIMBO",200109,21405988,13096879,15502865,30260.26,9552364,3007556,1445587,"2001","09"
"BIMBO",200112,22498654,13890663,16159349,25605.93,9831975,384063.2,1929669,"2001","12"
"BIMBO",200203,28807112,14779643,16671347,28207.44,15765747,6651334,-107375,"2002","03"
"BIMBO",200206,30424032,15444020,17276472,26208.58,17228388,3436063,-148378.5,"2002","06"
"BIMBO",200209,31840828,15680248,17579204,17872.16,18432184,381025.2,1447532,"2002","09"
"BIMBO",200212,32895228,15922451,17800570,18095.56,18516788,365862.4,3705519,"2002","12"
"BIMBO",200303,32451110,15816688,17982396,17472.39,17992408,843080.6,-174510,"2003","03"
"BIMBO",200306,31748172,16156948,18535272,20576.5,17074408,488741.8,1022746,"2003","06"
"BIMBO",200309,32506340,16074166,18964844,19988.6,17277062,474438.1,3171252,"2003","09"
"BIMBO",200312,31872404,15901954,19042228,24797.62,16110481,686834.4,3545936,"2003","12"
"BIMBO",200403,32224516,15947277,19339284,27396.14,15957662,596609.6,1313470,"2004","03"
"BIMBO",200406,32218608,16178203,19923060,28560.18,15884097,247021.2,2298737,"2004","06"
"BIMBO",200409,34116192,16517178,20815244,29359.73,16492775,353985.5,4118186,"2004","09"
"BIMBO",200412,33552032,16681488,20603292,33110.53,16450583,192481.1,5444857,"2004","12"
"BIMBO",200503,34381768,16805124,20994440,35156.42,16659016,203150.6,1305768,"2005","03"
"BIMBO",200506,34934484,17265150,21637672,36426.28,16677734,163319.1,2410864,"2005","06"
"BIMBO",200509,35799752,17424380,21642884,41305.85,17240134,189512,3608746,"2005","09"
"BIMBO",200512,37223600,18562964,23053434,43551.63,17275126,256355.2,4255539,"2005","12"
"BIMBO",200603,38908460,18813762,23464684,42011.33,17995876,446366.3,932685.2,"2006","03"
"BIMBO",200606,39974760,19111948,23805636,39647.98,18327684,3119531,2227749,"2006","06"
"BIMBO",200609,41876984,19731972,24477172,45280.06,18893854,3319348,3587686,"2006","09"
"BIMBO",200612,42347092,20780220,25879336,63493.2,18283532,3131225,4869008,"2006","12"
"BIMBO",200703,43877876,21275100,26431356,65303.93,18853118,3223330,952366,"2007","03"
"BIMBO",200706,41482284,21799584,26938500,78390.59,16230862,584249,2025004,"2007","06"
"BIMBO",200709,43577500,22439544,27654520,71806.11,16799464,2269245,4036964,"2007","09"
"BIMBO",200712,45243184,23504180,28380418,76485.79,16746024,2604803,6056004,"2007","12"
"BIMBO",200803,47306592,24054330,29097132,75251.2,17539892,2443528,1155748,"2008","03"
"BIMBO",200806,48050320,24389408,29801512,78990.24,18910228,2470704,3376263,"2008","06"
"BIMBO",200809,53046004,24320374,30137108,80812.73,22280408,1922410,5066893,"2008","09"
"BIMBO",200812,58505096,26038976,32102556,68572.66,23531528,2054248,8848603,"2008","12"
"BIMBO",200903,1.01e+08,33641172,32884828,61847.08,64021076,10800000,1329255,"2009","03"
"BIMBO",200906,97789064,32616708,32568650,82270.73,61545612,2108683,5072509,"2009","06"
"BIMBO",200909,1.02e+08,33085746,32910376,88220.27,62511596,9234997,9305744,"2009","09"
"BIMBO",200912,99667728,32763394,36985312,101765.5,58710116,4656484,13449575,"2009","12"
"BIMBO",201003,94769904,31198384,36542844,127903.5,54081460,3479357,1575824,"2010","03"
"BIMBO",201006,1.09e+08,31385964,37011252,108103.1,66924856,3649445,4259991,"2010","06"
"BIMBO",201009,97526560,31539538,37281788,108526.3,54162772,990291,7017405,"2010","09"
"BIMBO",201012,99068568,32027768,37920160,123964.6,54532144,1624336,10960186,"2010","12"
"BIMBO",201103,99152032,31707748,37859688,117790.2,53786128,1838498,1580142,"2011","03"
"BIMBO",201106,1.06e+08,32149672,38371144,127597.8,60655724,1986474,5156847,"2011","06"
"BIMBO",201109,1.16e+08,34365568,40786880,124117.4,68074520,2136747,12736802,"2011","09"
"BIMBO",201112,1.42e+08,43639280,49674984,133900.1,91062648,4042665,14737246,"2011","12"
"BIMBO",201203,1.31e+08,41405412,50545880,140343.5,82815072,2367731,6346591,"2012","03"
"BIMBO",201206,1.38e+08,42642600,51658380,154029.8,86405640,1666354,11052573,"2012","06"
"BIMBO",201209,1.34e+08,41809312,50167272,150690.5,84658264,1462920,13087438,"2012","09"
"BIMBO",201212,1.37e+08,42011456,50048140,157416.1,90081920,1573500,13759000,"2012","12"
"BIMBO",201303,1.31e+08,40123908,48306160,185729.4,86741608,1237583,2456109,"2013","03"
"BIMBO",201306,1.35e+08,41037672,49979400,184600.6,89415936,6241082,6261300,"2013","06"
"BIMBO",201309,1.37e+08,41880172,49820848,191373.2,90304856,6468137,7333068,"2013","09"
"BIMBO",201312,1.34e+08,42405280,50771200,189068.6,86410272,7903997,8621456,"2013","12"
