Fecha,Total,Interna,Externa,I,E
01/01/2000,1029.4,268.9,760.5,0.261220128,0.738779872
01/02/2000,1017.4,282.7,734.8,0.277865146,0.722233143
01/03/2000,996.5,261.9,734.6,0.26281987,0.73718013
01/04/2000,1002.2,268.4,733.8,0.267810816,0.732189184
01/05/2000,1023.9,281.1,742.9,0.274538529,0.725559137
01/06/2000,1069.6,315.6,754,0.295063575,0.704936425
01/07/2000,998.9,303.8,695.1,0.304134548,0.695865452
01/08/2000,993.8,305.3,688.5,0.307204669,0.692795331
01/09/2000,1030.6,318.4,712.3,0.308946245,0.691150786
01/10/2000,1077.6,354.2,723.4,0.328693393,0.671306607
01/11/2000,1097.2,397.7,699.5,0.362468101,0.637531899
01/12/2000,1183.7,474.3,709.4,0.400692743,0.599307257
01/01/2001,1114.49,377.61,736.88,0.338818652,0.661181348
01/02/2001,1115.78,386.08,729.7,0.346018032,0.653981968
01/03/2001,1130.23,381.86,748.37,0.337860435,0.662139565
01/04/2001,1105.87,373.28,732.59,0.337544196,0.662455804
01/05/2001,1085.05,382.45,702.6,0.352472236,0.647527764
01/06/2001,1101.23,413.6,687.63,0.375580033,0.624419967
01/07/2001,1111.55,427.51,684.04,0.38460708,0.61539292
01/08/2001,1130.49,432.11,698.38,0.382232483,0.617767517
01/09/2001,1146.5,430.98,715.52,0.375909289,0.624090711
01/10/2001,1152.79,467.91,684.88,0.405893528,0.594106472
01/11/2001,1141.84,459.95,681.9,0.402814755,0.597194003
01/12/2001,1187.08,501.73,685.35,0.422658961,0.577341039
01/01/2002,1205.43,499.75,705.68,0.414582348,0.585417652
01/02/2002,1232.54,530.12,702.41,0.430103688,0.569888198
01/03/2002,1232.31,544.57,687.74,0.441909909,0.558090091
01/04/2002,1264.81,570.28,694.54,0.450881951,0.549125956
01/05/2002,1282.71,579.16,703.55,0.451512813,0.548487187
01/06/2002,1295.06,572.56,722.5,0.44211079,0.55788921
01/07/2002,1312.58,610.01,702.57,0.464741197,0.535258803
01/08/2002,1309.6,601.64,707.96,0.459407453,0.540592547
01/09/2002,1352.27,611,741.27,0.451832844,0.548167156
01/10/2002,1317.37,590.78,726.59,0.448454117,0.551545883
01/11/2002,1345.95,613.98,731.97,0.456168506,0.543831494
01/12/2002,1436.49,670.01,766.48,0.466421625,0.533578375
01/01/2003,1438.56,609.51,829.04,0.423694528,0.576298521
01/02/2003,1419.94,588.23,831.71,0.414263983,0.585736017
01/03/2003,1405.25,578.86,826.4,0.411926703,0.588080413
01/04/2003,1325.54,544.46,781.09,0.410745809,0.589261735
01/05/2003,1362.72,586.99,775.73,0.430748797,0.569251203
01/06/2003,1375.64,591.13,784.51,0.429712716,0.570287284
01/07/2003,1429.7,652.21,777.48,0.456186613,0.543806393
01/08/2003,1456,650.61,805.39,0.446847527,0.553152473
01/09/2003,1435.77,628.65,807.12,0.43784868,0.56215132
01/10/2003,1451.6,631.67,819.94,0.435154312,0.564852576
01/11/2003,1505.46,669.03,836.43,0.444402375,0.555597625
01/12/2003,1585.25,745.57,839.67,0.470316985,0.529676707
01/01/2004,1602.74,731.35,871.39,0.456312315,0.543687685
01/02/2004,1605.38,735,870.38,0.457835528,0.542164472
01/03/2004,1606.87,739.89,866.98,0.460454175,0.539545825
01/04/2004,1612.52,730.19,882.33,0.452825391,0.547174609
01/05/2004,1567.37,694.91,872.46,0.443360534,0.556639466
01/06/2004,1622.23,730.03,892.2,0.450016336,0.549983664
01/07/2004,1621.08,755.25,865.83,0.465893108,0.534106892
01/08/2004,1594.88,730.42,864.47,0.45797803,0.54202824
01/09/2004,1582.35,719.98,862.37,0.455006794,0.544993206
01/10/2004,1632.86,778.3,854.55,0.476648335,0.523345541
01/11/2004,1595.34,758.55,836.78,0.475478581,0.52451515
01/12/2004,1624.93,774.19,850.75,0.476445139,0.523561015
01/01/2005,1618.61,745.9,872.71,0.4608275,0.5391725
01/02/2005,1649.37,801.72,847.64,0.486076502,0.513917435
01/03/2005,1591.64,740.74,850.89,0.465394185,0.534599533
01/04/2005,1553.9,738.82,815.08,0.475461741,0.524538259
01/05/2005,1528.12,744.56,783.56,0.487239222,0.512760778
01/06/2005,1553.47,781.31,772.16,0.50294502,0.49705498
01/07/2005,1514.71,757.13,757.58,0.499851457,0.500148543
01/08/2005,1531.94,771.25,760.7,0.50344661,0.496559917
01/09/2005,1524.85,770.57,754.27,0.505341509,0.494651933
01/10/2005,1534.94,781.61,753.33,0.509212086,0.490787914
01/11/2005,1518.94,789.06,729.88,0.51948069,0.48051931
01/12/2005,1563.72,824.62,739.1,0.527345049,0.472654951
01/01/2006,1603.82,859.29,744.52,0.535777082,0.464216683
01/02/2006,1598.63,895.5,703.13,0.560167143,0.439832857
01/03/2006,1686.75,971.59,715.16,0.576013043,0.423986957
01/04/2006,1651.98,942.35,709.63,0.570436688,0.429563312
01/05/2006,1647.82,923.21,724.61,0.560261436,0.439738564
01/06/2006,1647.03,921.81,725.22,0.559680152,0.440319848
01/07/2006,1651.39,950.22,701.16,0.575406173,0.424587772
01/08/2006,1646.19,935.63,710.56,0.568360882,0.431639118
01/09/2006,1630.07,927.66,702.41,0.569092125,0.430907875
01/10/2006,1602.4,1009.64,592.76,0.63007988,0.36992012
01/11/2006,1649.89,1080.22,569.68,0.654722436,0.345283625
01/12/2006,1680.04,1154.68,525.36,0.68729316,0.31270684
01/01/2007,1723.42,1145.64,577.78,0.664748001,0.335251999
01/02/2007,1728.54,1157.92,570.62,0.669883254,0.330116746
01/03/2007,1728.59,1200.28,528.31,0.694369399,0.305630601
01/04/2007,1690.87,1164.7,526.18,0.688817,0.311188915
01/05/2007,1695.15,1202.93,492.22,0.709630416,0.290369584
01/06/2007,1694.64,1224.74,469.9,0.722713969,0.277286031
01/07/2007,1694.19,1231.29,462.9,0.726772086,0.273227914
01/08/2007,1707.98,1256.71,451.26,0.735787304,0.264206841
01/09/2007,1690.06,1255.06,435,0.742612688,0.257387312
01/10/2007,1686.85,1282.67,404.18,0.760393633,0.239606367
01/11/2007,1679,1291,388,0.768910066,0.231089934
01/12/2007,1666.81,1289.72,377.09,0.773765456,0.226234544
01/01/2008,1762.64,1327.78,434.87,0.753290519,0.246715155
01/02/2008,1782.9,1374.94,407.96,0.771181782,0.228818218
01/03/2008,1761.29,1384.44,376.85,0.786037507,0.213962493
01/04/2008,1728.38,1342.38,386,0.776669482,0.223330518
01/05/2008,1733.75,1374.92,358.83,0.793032444,0.206967556
01/06/2008,1647.57,1308.05,339.52,0.793926813,0.206073187
01/07/2008,1677.71,1360.99,316.72,0.811218864,0.188781136
01/08/2008,1658.79,1348.31,310.48,0.812827422,0.187172578
01/09/2008,1606.75,1284.24,322.51,0.799278046,0.200721954
01/10/2008,1593.63,1279.85,313.78,0.803103606,0.196896394
01/11/2008,1615.07,1280.12,334.94,0.792609608,0.2073842
01/12/2008,2185.18,1784.75,400.43,0.816751938,0.183248062
01/01/2009,3137.79,1951.91,1185.88,0.622065212,0.377934788
01/02/2009,3166.46,1907.38,1259.08,0.602369839,0.397630161
01/03/2009,3197.88,2021.2,1176.68,0.632043729,0.367956271
01/04/2009,3087.95,1943.12,1144.84,0.629258893,0.370744345
01/05/2009,3039.72,1940.21,1099.51,0.638285763,0.361714237
01/06/2009,3040.58,1936.75,1103.83,0.636967289,0.363032711
01/07/2009,3098.65,1991.77,1106.88,0.642786375,0.357213625
01/08/2009,3147.87,2023.29,1124.58,0.642748906,0.357251094
01/09/2009,3208.83,2013.36,1195.47,0.627443648,0.372556352
01/10/2009,3291.25,2121.17,1170.08,0.644487657,0.355512343
01/11/2009,3296.55,2142.94,1153.61,0.650055361,0.349944639
01/12/2009,3355.55,2140.91,1214.64,0.638020593,0.361979407
01/01/2010,3380.29,2137.31,1242.98,0.632285987,0.367714013
01/02/2010,3344.39,2126.22,1218.17,0.635757193,0.364242807
01/03/2010,3372.45,2193.29,1179.16,0.650355083,0.349644917
01/04/2010,3361.13,2184.34,1176.79,0.649882629,0.350117371
01/05/2010,3451.61,2219.63,1231.98,0.643070915,0.356929085
01/06/2010,3506.72,2281.26,1225.46,0.650539536,0.349460464
01/07/2010,3585.93,2342.02,1243.91,0.653113697,0.346886303
01/08/2010,3638.3,2331.48,1306.82,0.640815766,0.359184234
01/09/2010,3666.51,2395.75,1270.76,0.653414282,0.346585718
01/10/2010,3722.37,2464.03,1258.34,0.661951928,0.338048072
01/11/2010,3674.82,2407.1,1267.72,0.65502528,0.34497472
01/12/2010,3812.55,2458.58,1353.98,0.644864985,0.355137638
01/01/2011,3719.68,2428.84,1290.85,0.652970148,0.34703254
01/02/2011,3755.13,2432.15,1322.97,0.647687297,0.35231004
01/03/2011,3751.23,2445.94,1305.29,0.652036799,0.347963201
01/04/2011,3764.09,2495.18,1268.91,0.662890632,0.337109368
01/05/2011,3845.86,2608.82,1237.04,0.678345026,0.321654974
01/06/2011,3886.78,2615.32,1271.46,0.672875748,0.327124252
01/07/2011,3988.86,2677.85,1311.01,0.67133216,0.32866784
01/08/2011,4104.9,2715.72,1389.18,0.661580063,0.338419937
01/09/2011,4276.92,2726.63,1550.28,0.637521862,0.3624758
01/10/2011,4271.09,2768.41,1502.68,0.648174119,0.351825881
01/11/2011,4310.72,2756.7,1554.02,0.639498738,0.360501262
01/12/2011,4436.87,2822.24,1614.63,0.636088053,0.363911947
01/01/2012,4459.58,2925.42,1534.15,0.655985541,0.344012216
