Fecha,TOTAL,CETES,BONDES,BONDESD,BONDESF,UDIBONOS,BONOS
01/01/2000,566313822.5,132357054,350922307,0,0,82065826,968635.5
01/02/2000,586924949.8,136886061,364333344,0,0,83427796,2277748.8
01/03/2000,605159483,138785583,377247386,0,0,85490470,3636044
01/04/2000,617570428.3,141870603,384547104,0,0,86249029,4903692.3
01/05/2000,624398987.5,144737373,390609489,0,0,81833010,7219115.5
01/06/2000,641561061.6,149517399.6,398666717,0,0,84810455,8566490
01/07/2000,666549347.2,156988510.3,411066119,0,0,88118958,10375759.9
01/08/2000,677185033,162588754,414400053,0,0,85508996,14687230
01/09/2000,686569576.7,164817088,417313987,0,0,85512452,18926049.7
01/10/2000,697302502,171285744,415038892,0,0,86279256,24698610
01/11/2000,711432703.1,176033429,420591841,0,0,84624747,30182686.1
01/12/2000,716839459.7,175068861,420255890,0,0,86644593,34870115.7
01/01/2001,716980898,176734008,416870687,0,0,88199283,35176920
01/02/2001,719344100.4,178155209,415849429,0,0,84553716,40785746.4
01/03/2001,720053433,178431020,408152372,0,0,83594041,49876000
01/04/2001,721827889,177844787,399917995,0,0,85900017,58165090
01/05/2001,720566870,181213163,386894036,0,0,85263571,67196100
01/06/2001,725479954,184955851,380928044,0,0,85993349,73602710
01/07/2001,731986611.9,186520381,377777234.9,0,0,87729087.7,79959908.3
01/08/2001,748795663.6,191502541,378019209,0,0,86981822.8,92292090.8
01/09/2001,728299698.5,190669832,357558568.1,0,0,88365923.6,91705374.8
01/10/2001,752631787.6,192105231,364442219.1,0,0,90825243.7,105259093.8
01/11/2001,748549992.1,190554205,353205062.9,0,0,92296239.7,112494484.5
01/12/2001,762838453.6,196673885.2,348988019.1,0,0,94846729.9,122329819.4
01/01/2002,774021143.8,195020646,346848723,0,0,96061853.6,136089921.2
01/02/2002,795602376.5,205518964,353552469,0,0,94235865.7,142295077.8
01/03/2002,804295332.3,203177451,357189603,0,0,97060764.7,146867513.6
01/04/2002,826033043.5,207256360.8,361113140,0,0,99579627.1,158083915.6
01/05/2002,834818929.6,200651301,366125011,0,0,97382807.1,170659810.5
01/06/2002,850266457.6,202815953.2,366595915,0,0,98270666.4,182583923
01/07/2002,845814984.2,199465802,364978888.1,0,0,98794018.2,182576275.9
01/08/2002,859690357.8,204241709,363051034,0,0,96872038.6,195525576.2
01/09/2002,846156820.5,197068029,355651071,0,0,95312220.5,198125500
01/10/2002,861298236.1,198785886,355174807,0,0,96189270.2,211148272.9
01/11/2002,876072219.2,208282369,351174398.9,0,0,96502195,220113256.3
01/12/2002,875640329.3,197438671,343345208,0,0,99767654.4,235088795.9
01/01/2003,857642474.5,206100530,341401610,0,0,81105373.4,229034961.1
01/02/2003,862482813.3,200241615.5,342232009.9,0,0,81873908.8,238135279.1
01/03/2003,871313999.5,206770805,338865600.3,0,0,81835830.2,243841764
01/04/2003,880932120.8,201361164,339492310.2,0,0,81897271.9,258181374.7
01/05/2003,907307226.4,209384484.9,336090960.6,0,0,84437116.5,277394664.4
01/06/2003,923790193.8,205622274.1,342513449.4,0,0,86838944.9,288815525.4
01/07/2003,951125905.8,211446094.1,344247479.5,0,0,86459503.2,308972829
01/08/2003,955500424.6,206959218.9,351474730.1,0,0,86750950.2,310315525.4
01/09/2003,984880318,216028460.9,358623220.5,0,0,89989682.3,320238954.3
