"ticker","fecha2","mind2mexico_1","mind2mexico_30","mind2mexico_32","econ_capitalizbursat","mind2mexico_54","deuda_cp","mind2mexico_199","Year","Mes","tasa_inversion","CF","qtobin","Periodo","Q"
"LIVEPOL",199503,4785459,2685316,634936,4326.3,1221078,0,-178647,"1995","03",0.0160647995220328,-5.62085822922325,0.904051210134702,1995-03-01,1.21375913517663
"LIVEPOL",199506,5409733,3311813,732386.1,4446.475,1174023,0,70104.99,"1995","06",0.0828764417914508,-3.36019896980103,0.821939825865713,1995-06-01,1.04975907226888
"LIVEPOL",199509,5917140,3531877,778882.4,6382.647,1333974,42557.5,354015.1,"1995","09",0.0856494097113677,-7.87715096062319,1.07147870423887,1995-09-01,1.39262837086852
"LIVEPOL",199512,6100103,3195140,786677.5,6943.466,1739591,831554.1,795408.9,"1995","12",-0.183164153035863,9.00300438899858,1.00193585255856,1995-12-01,1.59235108170784
"LIVEPOL",199603,6213284,3458927,844969.4,8527.106,1552467,784450.9,-75727.27,"1996","03",0.288089371977078,-0.576106679653171,1.2461453717551,1996-03-01,1.82953031625142
"LIVEPOL",199606,6250327,3697405,867782.8,8015.65,1616872,874874.6,-2106.346,"1996","06",0.116429279068595,-1.03004559304552,1.14246429026833,1996-06-01,1.72995097610746
"LIVEPOL",199609,6726836,3892460,901600.9,8451.886,1723188,902209.7,98558.71,"1996","09",0.102093872464981,-0.721597440335172,1.12232203966322,1996-09-01,1.68914479995395
"LIVEPOL",199612,6580509,3572273,896535.5,9445.111,1767718,76486.78,-271305.5,"1996","12",0.118033325613275,-1.34108934410968,1.42369294229367,1996-12-01,1.96250179989117
"LIVEPOL",199703,6941122,3807242,930736,10544.11,1743654,74538,569234,"1997","03",0.100700303880365,-8.51689582893983,1.50834000612581,1997-03-01,2.02870128300934
"LIVEPOL",199706,7227393,4094729,959223.1,13397.42,1875396,83523.45,870318.4,"1997","06",0.107460232243966,-414.188716383728,1.84214370935689,1997-06-01,2.50325626116756
"LIVEPOL",199709,7429799,4549796,1104791,15968.14,1772562,509631.9,1034338,"1997","09",0.168874182393653,9.49463817048742,2.08060919279243,1997-09-01,2.82260403797826
"LIVEPOL",199712,8410992,4741725,1195712,18463.07,2267244,435063.4,582386,"1997","12",0.327369156836558,-3.14660594790743,2.14338648758672,1997-12-01,3.00518022549102
"LIVEPOL",199803,8342943,5023666,1233780,18024.92,1806565,449344.4,-246154.5,"1998","03",0.319502674114228,-1.43243112674225,2.10663977927213,1998-03-01,2.75763121410665
"LIVEPOL",199806,8639805,5311132,1338542,17665.52,1877885,451127,-61584.42,"1998","06",0.297065568930203,-1.07076079283168,1.99245156574714,1998-06-01,2.61250059154796
"LIVEPOL",199809,9494919,5741982,1405252,17134.27,2243062,505609.4,209853.4,"1998","09",0.262030649286254,-0.797113322724293,1.75132200706504,1998-09-01,2.36274239825744
"LIVEPOL",199812,10410625,6081295,1598839,18001.18,3031885,694823.1,827636.3,"1998","12",0.282506893588304,0.421112973182735,1.66237443957495,1998-12-01,2.43960079905241
"LIVEPOL",199903,10127870,6542206,1706557,17922.2,2423953,586867.6,21656.96,"1999","03",0.302277261266971,-1.08798116630003,1.71164641726246,1999-03-01,2.32637501156879
"LIVEPOL",199906,11215129,6817826,1782700,22714.62,3053958,1002960,16256.74,"1999","06",0.283686039059093,-1.26397488195878,1.93592601565261,1999-06-01,2.78325500102865
"LIVEPOL",199909,12206379,7197009,1895655,23062.03,3730748,1248674,47614.4,"1999","09",0.253401525814605,-0.773106368541086,1.78704560951286,1999-09-01,2.72098089216012
"LIVEPOL",199912,12972439,7390088,2052650,24810.88,3768877,1283907,200966.8,"1999","12",0.215216166951283,-0.757179814370153,1.81361215111515,1999-12-01,2.69579104264197
"LIVEPOL",200003,12665744,7708889,2068701,24136.63,5198750,1119661,107631,"2000","03",0.178331743145966,3.96981109075327,1.81726150473277,2000-03-01,3.23244266702237
"LIVEPOL",200006,13692065,7860029,2183979,21704.3,6060237,1209991,376327.4,"2000","06",0.1528644174844,22.1490077346381,1.49680190679784,2000-06-01,2.84391891431516
"LIVEPOL",200009,15264183,8086638,2253149,21888,7254181,2387900,-543936.1,"2000","09",0.12361093337524,-12.4237730602507,1.27750695861023,2000-09-01,2.73258358736989
"LIVEPOL",200012,16400474,8557645,2352766,22548.05,7439689,2610980,-318367.7,"2000","12",0.157989593628655,-2.58418057111921,1.21563986504292,2000-12-01,2.51630298015185
"LIVEPOL",200103,16426363,8819792,2393038,20211.96,7295764,2652030,266989,"2001","03",0.144106757796097,1.48059573914579,1.06900900704556,2001-03-01,2.21365104304767
"LIVEPOL",200106,16995924,9187107,2551141,20132.94,7823812,2473492,922044.7,"2001","06",0.168838817261361,1.45011311958683,1.03904018398764,2001-06-01,2.1950168074703
"LIVEPOL",200109,17864420,9312566,2656812,16876.17,8286378,3028182,634009.9,"2001","09",0.151599218364913,-2.16559628971124,0.77517143013879,2001-09-01,1.76196450172175
"LIVEPOL",200112,18388334,9940044,3030538,17547.27,8022187,2195407,2182960,"2001","12",0.161539652556282,-7.85672572940031,0.834869705977714,2001-12-01,1.69274755605916
"LIVEPOL",200203,18494424,10153718,3137450,16853.28,7816999,1803596,734569.6,"2002","03",0.151242342223037,1.75131035361007,0.813741698578988,2002-03-01,1.57840303256637
"LIVEPOL",200206,20059996,10350198,3240748,15451.01,9221817,1494191,568151.1,"2002","06",0.126600354170252,-0.383813930062176,0.695753827667762,2002-06-01,1.42560941279896
"LIVEPOL",200209,20933420,10629862,3335546,14093.06,9650838,825024.1,-153985.7,"2002","09",0.141453601510046,-1.24287586045581,0.633820746920475,2002-09-01,1.24909883216448
"LIVEPOL",200212,22406452,11323650,3583420,16836.68,10303627,849375.4,600223,"2002","12",0.139195158492256,-0.725041686517389,0.713513438004375,2002-12-01,1.3911363669226
"LIVEPOL",200303,22376102,11694859,3688734,14093.06,9938572,629754.8,595252.5,"2003","03",0.151780953538398,-0.189658134504886,0.601682330550692,2003-03-01,1.13310761863489
"LIVEPOL",200306,23285252,12017936,3950718,14152.29,10555614,466132,1416743,"2003","06",0.161131023773651,1.49360249412524,0.587760785238657,2003-06-01,1.11175903038248
"LIVEPOL",200309,23834620,12261910,4067102,15474.74,10755060,437458.3,1789146,"2003","09",0.153534260369514,-12.6189100676232,0.630900836682104,2003-09-01,1.18312389713415
"LIVEPOL",200312,25539090,12817075,4367244,16923.12,11707279,0,3361478,"2003","12",0.131885478622176,4.60038185807608,0.662635982722955,2003-12-01,1.22349271545136
"LIVEPOL",200403,25083308,13166812,4461201,21475.14,11216923,0,443763,"2004","03",0.125863253246576,-0.254496201191931,0.85615262548305,2004-03-01,1.54871943913284
"LIVEPOL",200406,26806424,13470914,4533258,22604.13,12297188,0,1110411,"2004","06",0.120900793613812,-0.216222702353214,0.843235561744453,2004-06-01,1.55791318026669
"LIVEPOL",200409,28669764,14345119,4650709,23527.83,13533339,425944.8,980393.4,"2004","09",0.169892700240012,-0.452032757527893,0.805792653193797,2004-09-01,1.55438486961089
"LIVEPOL",200412,31861662,15294015,4906490,25501.72,15241727,1960138,1246309,"2004","12",0.193253140829713,-0.629237793613405,0.738868612691956,2004-12-01,1.53440551963651
"LIVEPOL",200503,31937070,15884170,5010307,26855.77,15372221,3332388,-588022.8,"2005","03",0.20637934224321,-2.32508298348443,0.73655416730464,2005-03-01,1.62125051668144
"LIVEPOL",200506,33344686,16361432,5111149,29662.53,16050516,758301.7,-141656.8,"2005","06",0.214574749716315,-1.12757150280392,0.866831623485673,2005-06-01,1.71517511392568
"LIVEPOL",200509,34475480,16806472,5206047,30412.61,16827680,894472.9,303465.7,"2005","09",0.171581218670964,-0.6904653784899,0.856206704011083,2005-09-01,1.72330885436145
"LIVEPOL",200512,36874772,17693172,5754178,32311.43,17589812,98932.02,2127100,"2005","12",0.156869010524705,0.706719601639722,0.873564668549001,2005-12-01,1.67547301109258
"LIVEPOL",200603,36147864,18094832,5920242,32998.28,16896540,682744.3,-64254.12,"2006","03",0.139173907103739,-0.890728522771566,0.893981887837135,2006-03-01,1.7140784706548
"LIVEPOL",200606,38941340,18557260,6144511,33554.9,18749920,1580341,432869.2,"2006","06",0.134207568139512,-4.05576011882239,0.821095499024944,2006-06-01,1.66183953382179
"LIVEPOL",200609,40727764,19338738,6332193,34897.1,19666156,3341869,-2048117,"2006","09",0.150672074424662,-7.74908894151794,0.774784272468285,2006-09-01,1.65690577851416
"LIVEPOL",200612,42491800,20418364,6841235,52533.55,19540420,1083627,1305362,"2006","12",0.154025066844995,-0.386318461755442,1.21082004057253,2006-12-01,2.28890593942499
"LIVEPOL",200703,41267456,21196164,7005249,66651.9,18209976,1954123,-801606.3,"2007","03",0.171393246425278,11.4755626565269,1.56776751636932,2007-03-01,2.89068449804575
