Fecha,TOTOL,CORTOPLAZO,LARGOPLAZO,CP,LP,LOCAL,EXTRANJERA,L,E
01/06/2009,211.2,21.7,189.5,0.102746212,0.897253788,211.2,0,1,0
01/07/2009,227.5,25.7,201.8,0.112967033,0.887032967,227.5,0,1,0
01/08/2009,229.8,28.6,201.3,0.124456049,0.875979112,229.8,0,1,0
01/09/2009,230,20.2,209.8,0.087826087,0.912173913,230,0,1,0
01/10/2009,236.1,20.3,215.8,0.085980517,0.914019483,236.1,0,1,0
01/11/2009,239.5,17.3,222.2,0.07223382,0.92776618,239.5,0,1,0
01/12/2009,243.6,16.8,226.9,0.068965517,0.931444992,243.6,0,1,0
01/01/2010,245.8,18.9,226.9,0.076891782,0.923108218,245.8,0,1,0
01/02/2010,242.3,17,225.3,0.070160957,0.929839043,242.3,0,1,0
01/03/2010,251.7,12.4,239.3,0.049264998,0.950735002,251.7,0,1,0
01/04/2010,250.5,14.9,235.7,0.059481038,0.940918164,250.5,0,1,0
01/05/2010,251.7,14.1,237.6,0.05601907,0.94398093,251.7,0,1,0
01/06/2010,250,14.4,235.7,0.0576,0.9428,250,0,1,0
01/07/2010,256.6,12.9,243.8,0.050272798,0.950116913,256.6,0,1,0
01/08/2010,242.6,9.5,233.1,0.03915911,0.96084089,242.6,0,1,0
01/09/2010,251.3,13.1,238.2,0.05212893,0.94787107,244.6,6.7,0.973338639,0.026661361
01/10/2010,263.8,15.5,248.3,0.058756634,0.941243366,257.2,6.5,0.974981046,0.024639879
01/11/2010,272.7,15.1,257.5,0.055372204,0.944261093,266.1,6.6,0.97579758,0.02420242
01/12/2010,265.4,12,253.5,0.04521477,0.95516202,258.7,6.7,0.974755087,0.025244913
01/01/2011,260.2,12.7,247.6,0.048808609,0.951575711,253.6,6.6,0.974634896,0.025365104
01/02/2011,261.8,13.7,248.1,0.052330023,0.947669977,255.2,6.6,0.974789916,0.025210084
01/03/2011,261.7,13.7,248,0.052350019,0.947649981,255.2,6.5,0.9751624,0.0248376
01/04/2011,267.2,12.5,254.7,0.046781437,0.953218563,260.9,6.3,0.976422156,0.023577844
01/05/2011,271.2,13.3,257.9,0.049041298,0.950958702,264.9,6.3,0.976769912,0.023230088
01/06/2011,276.5,20.3,256.2,0.073417722,0.926582278,270.1,6.4,0.976853526,0.023146474
01/07/2011,273.7,21.7,252.1,0.079283887,0.921081476,267.3,6.4,0.976616734,0.023383266
01/08/2011,275.1,24.4,250.7,0.08869502,0.91130498,268.3,6.7,0.975281716,0.02435478
01/09/2011,282.3,21.7,260.6,0.07686858,0.92313142,274.8,7.5,0.973432519,0.026567481
01/10/2011,288.8,22.5,266.4,0.077908587,0.922437673,281.6,7.2,0.975069252,0.024930748
01/11/2011,293.8,22.4,271.4,0.076242342,0.923757658,286.4,7.4,0.974812798,0.025187202
01/12/2011,292.6,21.1,271.4,0.072112098,0.927546138,285,7.6,0.974025974,0.025974026
01/01/2012,291,22.1,268.9,0.075945017,0.924054983,283.9,7.1,0.975601375,0.024398625
01/02/2012,302.7,29.2,273.5,0.096465147,0.903534853,295.7,7,0.976874794,0.023125206
01/03/2012,310.8,25,285.9,0.08043758,0.91988417,303.8,7,0.977477477,0.022522523
01/04/2012,298.4,22.7,275.7,0.076072386,0.923927614,291.3,7.1,0.976206434,0.023793566
01/05/2012,301,22.2,278.8,0.073754153,0.926245847,293.2,7.8,0.974086379,0.025913621
01/06/2012,306,22.7,283.3,0.074183007,0.925816993,296,10,0.967320261,0.032679739
01/07/2012,306,23.6,282.4,0.077124183,0.922875817,296.1,9.9,0.967647059,0.032352941
01/08/2012,307.6,24.3,283.2,0.0789987,0.920676203,297.7,9.9,0.967815345,0.032184655
01/09/2012,314.6,23.5,291.1,0.074698029,0.925301971,305,9.6,0.96948506,0.03051494
01/10/2012,317.7,23.9,293.7,0.075228203,0.924457035,307.9,9.8,0.969153289,0.030846711
01/11/2012,304.8,11.2,293.6,0.036745407,0.963254593,295.1,9.6,0.968175853,0.031496063
01/12/2012,303.3,18.1,285.2,0.059676888,0.940323112,293.7,9.7,0.96834817,0.031981536
01/01/2013,305.8,21.5,284.3,0.07030739,0.92969261,296.3,9.5,0.968933944,0.031066056
01/02/2013,313,19.1,294,0.061022364,0.939297125,303.5,9.5,0.969648562,0.030351438
01/03/2013,317.2,19.4,297.8,0.061160151,0.938839849,308,9.2,0.970996217,0.029003783
01/04/2013,323.5,20.9,302.6,0.064605873,0.935394127,314.5,9.1,0.972179289,0.02812983
01/05/2013,334.4,20.1,314.3,0.060107656,0.939892344,324.8,9.5,0.971291866,0.028409091
01/06/2013,339.5,20.1,319.5,0.059204713,0.941089838,329.8,9.7,0.971428571,0.028571429
01/07/2013,336.2,19.2,317,0.057108864,0.942891136,326.6,9.6,0.971445568,0.028554432
01/08/2013,340.4,19.6,320.8,0.057579318,0.942420682,330.4,9.9,0.970622797,0.029083431
01/09/2013,338.2,16.3,322,0.048196334,0.952099349,328.4,9.8,0.971023063,0.028976937
01/10/2013,336.1,16.3,319.8,0.048497471,0.951502529,326.4,9.7,0.971139542,0.028860458
01/11/2013,335,13.5,321.5,0.040298507,0.959701493,325.2,9.8,0.970746269,0.029253731
01/12/2013,343.9,10.3,333.6,0.029950567,0.970049433,334.1,9.8,0.971503344,0.028496656
01/01/2014,344.6,9.9,334.7,0.028728961,0.971271039,334.9,9.8,0.971851422,0.02843877
01/02/2014,348.2,11.1,337.1,0.031878231,0.968121769,338.5,9.7,0.972142447,0.027857553
01/03/2014,349.2,11.1,338.1,0.031786942,0.968213058,339.7,9.5,0.97279496,0.02720504
01/04/2014,350,9.8,340.2,0.028,0.972,340.5,9.6,0.972857143,0.027428571
